"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Mitchell County, Kansas",20123,"34.03 (31.28, 37.09)","36.38 (33.84, 39.25)","39.74 (36.93, 42.49)","46.85 (43.81, 50.09)","54.53 (50.86, 58.26)","58.43 (53.91, 63.03)","56.97 (52.59, 61.37)","59.86 (54.85, 65.29)","75.88 (54.96, 97.94)"
"Montgomery County, Kansas",20125,"45.61 (42.77, 48.65)","49.78 (47.06, 52.35)","54.13 (51.51, 56.90)","62.59 (59.64, 65.67)","73.30 (69.79, 76.79)","77.92 (74.18, 81.65)","77.33 (73.59, 81.43)","80.42 (75.82, 85.20)","76.31 (61.50, 91.46)"
"Morris County, Kansas",20127,"42.20 (38.60, 46.02)","42.78 (39.73, 46.10)","42.50 (39.58, 45.58)","47.45 (44.25, 50.97)","52.06 (48.47, 55.62)","53.42 (49.52, 57.60)","49.07 (45.14, 53.17)","49.04 (44.64, 53.40)","16.20 (2.34, 30.53)"
"Morton County, Kansas",20129,"37.27 (33.24, 41.70)","40.04 (36.16, 44.41)","43.16 (39.01, 47.14)","47.63 (43.39, 51.99)","53.12 (48.34, 57.63)","58.24 (53.20, 63.65)","57.10 (51.46, 63.07)","58.16 (52.18, 64.73)","56.07 (33.18, 81.90)"
"Nemaha County, Kansas",20131,"39.24 (36.26, 42.37)","40.44 (37.58, 43.30)","42.29 (39.57, 45.00)","47.93 (45.18, 50.91)","52.00 (48.56, 55.39)","53.46 (50.03, 56.88)","50.42 (46.81, 54.01)","51.33 (47.50, 55.35)","30.84 (16.37, 45.37)"
"Neosho County, Kansas",20133,"39.82 (37.04, 42.91)","41.17 (38.63, 43.92)","44.91 (42.31, 47.66)","50.26 (47.50, 53.27)","56.48 (53.23, 59.96)","60.41 (56.68, 64.14)","58.42 (54.88, 62.23)","60.21 (56.00, 64.41)","51.23 (36.57, 68.65)"
"Ness County, Kansas",20135,"44.23 (40.40, 48.48)","46.38 (42.81, 50.05)","49.98 (46.56, 53.63)","58.33 (54.28, 62.46)","66.75 (62.23, 71.92)","71.19 (65.58, 77.32)","68.88 (63.17, 74.80)","73.25 (66.67, 80.26)","65.63 (46.46, 88.70)"
"Norton County, Kansas",20137,"35.13 (32.01, 38.36)","37.26 (34.28, 40.30)","40.87 (37.98, 43.81)","46.53 (43.22, 49.99)","52.97 (49.25, 56.94)","56.35 (52.04, 60.63)","54.05 (49.65, 58.67)","56.08 (51.00, 61.74)","59.65 (41.00, 83.94)"
"Osage County, Kansas",20139,"41.26 (38.14, 44.48)","43.18 (40.40, 46.28)","46.75 (44.03, 49.62)","51.84 (48.74, 54.81)","57.06 (53.84, 60.55)","60.22 (56.46, 63.91)","57.26 (53.38, 61.00)","59.75 (55.37, 64.09)","44.82 (30.88, 62.47)"
"Osborne County, Kansas",20141,"40.83 (37.37, 44.52)","43.85 (40.62, 47.44)","48.10 (44.88, 51.55)","55.62 (52.09, 59.46)","63.56 (59.50, 68.15)","68.51 (63.85, 74.00)","67.69 (62.36, 73.60)","70.00 (63.91, 76.35)","71.42 (50.73, 94.55)"
"Ottawa County, Kansas",20143,"34.53 (31.34, 37.87)","36.63 (33.90, 39.70)","40.07 (37.08, 43.11)","45.80 (42.50, 49.16)","53.76 (50.01, 58.05)","56.90 (52.53, 61.55)","52.87 (48.44, 57.77)","54.96 (49.77, 60.17)","59.16 (38.99, 81.40)"
"Pawnee County, Kansas",20145,"37.99 (34.76, 41.37)","40.52 (37.57, 43.65)","44.32 (41.29, 47.53)","51.70 (48.39, 54.97)","60.64 (56.47, 64.57)","67.72 (62.87, 72.43)","65.37 (60.56, 70.36)","67.15 (61.97, 72.41)","76.75 (56.49, 99.91)"
"Phillips County, Kansas",20147,"35.48 (32.43, 38.63)","38.57 (35.49, 41.74)","42.00 (38.91, 45.07)","47.71 (44.45, 51.23)","53.67 (49.80, 57.65)","57.99 (53.71, 62.57)","57.92 (53.18, 62.87)","58.35 (53.05, 64.07)","64.47 (45.28, 87.01)"
"Pottawatomie County, Kansas",20149,"36.78 (33.75, 39.93)","37.82 (34.95, 40.73)","39.63 (37.00, 42.26)","43.87 (41.13, 46.70)","48.80 (45.93, 51.96)","49.80 (46.49, 53.24)","48.30 (44.94, 52.07)","47.65 (44.00, 51.59)","29.55 (14.51, 45.52)"
"Pratt County, Kansas",20151,"40.51 (37.37, 43.91)","42.79 (39.86, 45.81)","45.65 (42.91, 48.53)","51.49 (48.38, 54.46)","58.10 (54.62, 61.63)","61.75 (57.80, 65.99)","60.89 (56.64, 65.09)","62.20 (57.72, 66.95)","53.52 (37.75, 71.56)"
"Rawlins County, Kansas",20153,"39.78 (36.45, 43.51)","42.25 (38.87, 45.76)","45.05 (41.74, 48.61)","51.06 (47.19, 54.96)","58.97 (54.50, 63.31)","62.73 (57.91, 68.13)","59.62 (54.58, 64.59)","63.03 (57.55, 68.94)","58.46 (40.26, 80.49)"
"Reno County, Kansas",20155,"33.94 (31.82, 36.21)","36.42 (34.48, 38.41)","41.05 (38.96, 43.23)","46.60 (44.38, 48.90)","53.18 (50.71, 55.86)","58.82 (55.93, 61.64)","57.22 (54.28, 60.19)","60.14 (56.91, 63.39)","77.19 (62.77, 92.14)"
"Republic County, Kansas",20157,"33.16 (30.30, 36.17)","35.10 (32.32, 37.94)","38.12 (35.46, 40.91)","43.78 (40.94, 47.04)","50.26 (46.76, 53.98)","53.81 (49.89, 57.87)","54.49 (50.15, 58.88)","56.31 (51.65, 61.87)","69.83 (49.30, 92.75)"
"Rice County, Kansas",20159,"40.98 (37.67, 44.16)","43.97 (40.83, 47.27)","46.99 (44.17, 50.13)","55.03 (51.63, 58.53)","61.83 (57.87, 65.79)","67.78 (63.13, 72.24)","66.58 (61.84, 71.49)","68.41 (63.04, 74.10)","66.93 (48.83, 86.35)"
"Riley County, Kansas",20161,"31.14 (28.78, 33.53)","31.66 (29.58, 33.85)","33.51 (31.43, 35.50)","36.88 (34.67, 38.98)","41.22 (38.94, 43.62)","42.21 (39.65, 44.81)","41.20 (38.63, 43.77)","42.14 (39.42, 45.25)","35.33 (21.96, 49.59)"
"Rooks County, Kansas",20163,"42.71 (39.02, 46.67)","44.15 (40.95, 47.67)","47.69 (44.55, 51.24)","54.49 (50.98, 58.36)","62.40 (57.82, 66.79)","63.21 (58.49, 68.11)","62.85 (57.47, 68.13)","64.17 (58.37, 70.05)","50.25 (31.85, 70.67)"
"Rush County, Kansas",20165,"33.35 (30.33, 36.72)","35.28 (32.45, 38.57)","37.94 (35.02, 41.10)","43.02 (39.76, 46.63)","48.16 (44.36, 52.22)","51.40 (46.84, 55.98)","50.97 (46.28, 56.18)","52.54 (47.16, 58.32)","57.55 (36.16, 82.99)"
"Russell County, Kansas",20167,"40.36 (37.21, 43.98)","42.14 (39.02, 45.29)","45.76 (42.87, 48.89)","52.51 (49.14, 55.79)","60.15 (56.25, 64.34)","65.25 (60.99, 69.61)","62.55 (58.33, 67.43)","63.64 (58.46, 68.92)","57.66 (39.38, 76.57)"
"Saline County, Kansas",20169,"32.40 (30.16, 34.89)","34.29 (32.07, 36.32)","36.52 (34.34, 38.70)","42.41 (40.20, 44.63)","48.92 (46.47, 51.49)","51.83 (49.20, 54.64)","50.90 (48.07, 53.71)","53.14 (50.04, 56.29)","64.01 (47.60, 79.86)"
"Scott County, Kansas",20171,"35.12 (31.94, 38.57)","35.58 (32.80, 38.55)","37.03 (34.10, 39.98)","41.50 (38.26, 44.73)","45.93 (42.29, 49.74)","48.62 (44.49, 53.25)","46.96 (42.52, 51.38)","48.53 (43.36, 54.22)","38.18 (20.78, 59.61)"
"Sedgwick County, Kansas",20173,"42.71 (40.63, 44.76)","44.71 (42.70, 46.67)","45.68 (43.80, 47.66)","52.81 (50.69, 54.92)","58.72 (56.52, 60.86)","63.27 (60.82, 65.57)","58.53 (56.39, 60.85)","58.50 (56.05, 60.93)","36.97 (28.55, 45.26)"
"Seward County, Kansas",20175,"36.28 (33.28, 39.53)","40.54 (37.28, 44.13)","44.73 (41.78, 47.91)","53.33 (50.24, 56.44)","65.08 (61.21, 69.23)","68.98 (64.92, 73.23)","67.71 (63.35, 72.77)","69.93 (64.95, 75.51)","92.75 (70.70, 117.39)"
"Shawnee County, Kansas",20177,"38.48 (36.48, 40.60)","40.25 (38.27, 42.36)","43.44 (41.60, 45.50)","50.88 (48.65, 53.17)","55.52 (53.14, 57.91)","54.80 (52.48, 57.22)","53.68 (51.34, 56.07)","56.71 (54.00, 59.24)","47.37 (37.84, 57.75)"
"Sheridan County, Kansas",20179,"32.56 (29.28, 36.11)","33.76 (30.55, 37.08)","35.72 (32.45, 39.08)","39.10 (35.58, 42.82)","43.98 (39.49, 47.97)","43.70 (39.41, 48.18)","41.87 (36.97, 46.60)","42.67 (37.18, 48.12)","31.05 (12.57, 53.78)"
"Sherman County, Kansas",20181,"38.88 (35.43, 42.65)","41.92 (38.59, 45.38)","45.31 (42.10, 48.75)","50.58 (47.17, 54.02)","56.95 (52.63, 61.23)","63.84 (58.92, 68.71)","60.61 (55.59, 65.69)","65.45 (59.61, 71.73)","68.34 (46.69, 92.67)"
"Smith County, Kansas",20183,"29.63 (26.94, 32.57)","30.64 (28.14, 33.27)","32.42 (29.93, 35.24)","35.79 (32.94, 38.60)","39.54 (36.33, 42.79)","40.85 (37.42, 44.13)","39.44 (36.00, 43.24)","39.84 (35.87, 43.98)","34.44 (16.80, 54.54)"
"Stafford County, Kansas",20185,"39.78 (36.54, 43.40)","41.89 (38.66, 45.19)","44.98 (41.94, 48.32)","50.50 (47.08, 54.17)","58.12 (53.97, 62.37)","65.98 (61.13, 71.35)","64.13 (58.78, 69.51)","65.10 (59.31, 71.46)","63.65 (43.85, 85.02)"
"Stanton County, Kansas",20187,"40.28 (35.92, 44.81)","42.01 (37.80, 46.06)","43.71 (39.49, 47.91)","48.19 (43.85, 52.82)","53.46 (48.36, 58.49)","59.23 (53.71, 65.43)","56.39 (50.47, 62.89)","56.46 (49.89, 63.94)","40.19 (21.27, 61.43)"
"Stevens County, Kansas",20189,"39.80 (35.83, 43.96)","41.97 (38.29, 45.96)","44.15 (40.65, 48.15)","48.55 (45.09, 52.39)","54.60 (50.49, 58.74)","59.72 (55.00, 64.93)","59.26 (54.27, 64.88)","61.60 (55.65, 67.96)","54.79 (35.36, 79.29)"
"Sumner County, Kansas",20191,"49.16 (45.71, 52.56)","52.28 (49.21, 55.32)","58.60 (55.47, 61.74)","66.23 (62.75, 69.90)","75.31 (71.42, 79.24)","81.24 (77.14, 85.45)","82.00 (77.32, 86.82)","86.16 (80.93, 91.34)","75.27 (60.12, 92.85)"
"Thomas County, Kansas",20193,"37.88 (34.28, 41.57)","39.50 (36.39, 42.91)","42.15 (38.90, 45.25)","47.00 (43.66, 50.59)","52.64 (49.03, 56.30)","57.58 (53.58, 62.08)","56.78 (52.35, 61.46)","56.28 (51.46, 61.07)","48.59 (30.93, 70.81)"
"Trego County, Kansas",20195,"38.63 (34.96, 42.70)","39.61 (36.32, 43.43)","41.73 (38.44, 45.22)","46.28 (42.52, 50.26)","51.47 (47.04, 55.74)","55.17 (50.16, 60.34)","51.43 (46.52, 56.64)","51.10 (45.89, 57.55)","32.26 (13.42, 52.44)"
"Wabaunsee County, Kansas",20197,"41.10 (37.72, 44.60)","44.17 (41.11, 47.41)","47.10 (43.79, 50.43)","53.06 (49.55, 56.76)","59.85 (55.68, 64.25)","64.52 (59.71, 69.64)","62.39 (57.41, 67.42)","63.42 (58.05, 69.41)","54.31 (38.31, 74.13)"
"Wallace County, Kansas",20199,"40.61 (36.44, 45.23)","42.70 (38.60, 47.33)","45.16 (41.15, 49.96)","49.89 (45.59, 54.60)","54.10 (48.81, 59.76)","58.22 (52.18, 64.77)","53.90 (47.96, 60.34)","54.91 (48.33, 62.05)","35.21 (15.27, 56.81)"
"Washington County, Kansas",20201,"33.20 (30.33, 35.90)","34.66 (32.15, 37.26)","36.42 (33.78, 38.86)","40.46 (37.76, 43.26)","44.53 (41.47, 47.78)","45.73 (42.19, 49.45)","43.27 (39.71, 46.60)","43.19 (39.31, 47.34)","30.08 (15.20, 47.54)"
"Wichita County, Kansas",20203,"42.12 (38.05, 46.83)","44.38 (40.46, 48.70)","46.91 (42.88, 51.20)","54.48 (49.85, 58.90)","64.26 (58.86, 69.69)","68.13 (62.27, 74.38)","64.33 (58.20, 71.15)","67.42 (60.33, 75.14)","60.08 (38.33, 84.17)"
"Wilson County, Kansas",20205,"45.57 (41.99, 49.33)","48.50 (45.15, 52.04)","53.62 (50.24, 56.97)","61.63 (57.94, 65.28)","71.76 (67.75, 75.92)","76.54 (71.80, 81.07)","78.09 (73.06, 83.68)","81.69 (75.75, 87.47)","79.28 (59.17, 100.95)"
"Woodson County, Kansas",20207,"39.58 (36.04, 43.28)","41.10 (37.73, 44.70)","43.58 (40.28, 47.21)","49.25 (45.63, 53.17)","55.73 (51.41, 60.42)","58.16 (53.23, 63.02)","56.16 (51.01, 61.41)","57.17 (51.64, 63.11)","44.42 (26.54, 64.15)"
"Wyandotte County, Kansas",20209,"59.94 (57.13, 63.04)","61.18 (58.39, 63.99)","64.29 (61.62, 67.16)","75.94 (72.88, 79.14)","86.05 (82.46, 89.60)","86.79 (83.06, 90.30)","82.59 (79.25, 86.15)","84.05 (80.07, 87.88)","40.22 (30.81, 50.00)"
Kentucky,21,"51.04 (49.57, 52.64)","53.41 (52.20, 54.65)","56.05 (54.69, 57.33)","62.38 (60.99, 63.90)","69.04 (67.41, 70.65)","71.96 (70.30, 73.73)","69.18 (67.42, 70.95)","69.79 (67.84, 71.65)","36.72 (31.98, 41.74)"
"Adair County, Kentucky",21001,"51.17 (47.16, 55.32)","52.07 (48.69, 55.61)","53.86 (50.57, 57.35)","56.79 (53.42, 60.22)","61.36 (57.74, 65.15)","61.35 (57.47, 65.07)","57.36 (53.54, 61.27)","55.70 (51.61, 59.77)","8.85 (-3.02, 21.48)"
"Allen County, Kentucky",21003,"46.66 (42.89, 50.36)","49.57 (46.12, 53.09)","53.82 (50.54, 57.17)","60.49 (56.67, 64.38)","68.67 (64.81, 72.75)","73.98 (69.58, 78.33)","70.31 (65.78, 74.81)","72.00 (66.86, 77.13)","54.31 (39.39, 71.21)"
"Anderson County, Kentucky",21005,"46.57 (43.01, 50.43)","47.19 (43.84, 50.85)","48.83 (45.71, 52.24)","52.93 (49.66, 56.43)","57.63 (54.14, 61.38)","58.86 (55.20, 62.46)","55.43 (51.57, 59.36)","56.64 (52.53, 60.77)","21.62 (9.72, 35.33)"
"Ballard County, Kentucky",21007,"39.45 (35.84, 43.48)","42.02 (38.27, 45.70)","45.57 (41.90, 49.31)","52.24 (48.25, 56.05)","58.89 (54.60, 63.49)","65.78 (60.74, 71.06)","63.60 (58.31, 69.36)","65.37 (59.35, 71.55)","65.72 (46.52, 87.82)"
"Barren County, Kentucky",21009,"40.56 (37.58, 43.53)","42.26 (39.52, 45.13)","44.39 (41.74, 47.06)","49.12 (46.22, 51.86)","55.34 (52.11, 58.55)","56.80 (53.77, 60.11)","54.00 (50.85, 57.17)","56.27 (52.42, 60.09)","38.73 (25.88, 53.46)"
"Bath County, Kentucky",21011,"55.75 (51.30, 60.80)","56.76 (52.60, 61.22)","58.94 (54.60, 62.89)","64.05 (59.82, 68.35)","70.17 (65.45, 74.99)","70.41 (65.60, 75.22)","65.54 (60.85, 70.86)","64.48 (59.19, 69.85)","15.65 (3.12, 29.08)"
"Bell County, Kentucky",21013,"52.80 (49.13, 56.79)","57.05 (53.38, 60.74)","63.92 (60.31, 67.46)","73.82 (69.93, 77.92)","84.51 (80.15, 88.85)","89.76 (85.03, 94.57)","89.37 (84.43, 94.30)","92.29 (86.91, 97.97)","74.79 (58.68, 91.92)"
"Boone County, Kentucky",21015,"52.81 (49.18, 56.49)","54.36 (51.21, 57.54)","55.92 (52.89, 59.02)","60.68 (57.63, 64.08)","67.20 (63.89, 70.65)","67.08 (63.84, 70.44)","62.10 (59.03, 65.52)","62.65 (59.21, 66.25)","18.64 (9.40, 29.20)"
"Bourbon County, Kentucky",21017,"57.56 (53.68, 61.61)","57.57 (53.92, 61.28)","58.24 (54.79, 61.95)","64.08 (60.42, 67.63)","69.00 (65.27, 73.05)","68.67 (64.85, 72.74)","65.29 (61.45, 69.83)","64.77 (60.83, 68.95)","12.54 (2.02, 23.77)"
"Boyd County, Kentucky",21019,"52.82 (49.20, 56.53)","52.56 (49.53, 55.66)","55.07 (51.96, 58.13)","60.61 (57.40, 64.00)","66.41 (62.96, 70.13)","66.45 (62.89, 69.92)","59.84 (56.51, 63.57)","59.44 (55.40, 62.99)","12.55 (2.57, 23.20)"
"Boyle County, Kentucky",21021,"49.35 (46.04, 52.95)","51.95 (48.51, 55.45)","54.74 (51.50, 57.98)","59.51 (56.20, 63.04)","64.72 (61.30, 68.05)","67.29 (63.38, 71.13)","63.39 (59.59, 66.98)","64.00 (59.89, 68.35)","29.68 (17.84, 43.29)"
"Bracken County, Kentucky",21023,"55.03 (50.04, 60.17)","56.29 (52.17, 60.92)","59.47 (55.38, 63.86)","65.65 (61.24, 70.43)","70.64 (65.75, 75.68)","71.08 (65.52, 76.79)","67.87 (62.71, 73.56)","67.10 (61.63, 73.22)","21.92 (7.95, 37.64)"
"Breathitt County, Kentucky",21025,"47.97 (43.98, 51.99)","50.33 (46.77, 54.36)","54.15 (50.20, 58.22)","61.85 (57.64, 66.04)","69.20 (64.55, 73.99)","73.03 (68.03, 77.97)","69.65 (64.29, 75.14)","70.96 (65.22, 77.05)","47.93 (32.37, 66.33)"
"Breckinridge County, Kentucky",21027,"43.21 (39.76, 46.74)","46.70 (43.59, 49.98)","51.18 (47.92, 54.99)","59.00 (55.53, 62.36)","68.76 (64.66, 73.03)","72.78 (68.28, 77.17)","71.79 (67.10, 76.89)","74.02 (68.68, 79.59)","71.29 (52.96, 91.95)"
"Bullitt County, Kentucky",21029,"50.52 (46.78, 54.48)","52.43 (49.08, 56.21)","56.48 (53.35, 60.01)","60.50 (57.29, 64.02)","66.95 (63.38, 70.41)","66.41 (62.73, 69.84)","64.23 (60.67, 67.70)","62.48 (58.94, 66.08)","23.67 (12.74, 36.27)"
"Butler County, Kentucky",21031,"48.50 (44.57, 52.94)","51.41 (47.68, 55.53)","54.74 (51.07, 58.42)","62.42 (58.65, 66.72)","70.45 (66.04, 75.06)","73.74 (68.76, 78.80)","72.07 (67.13, 77.26)","74.74 (68.81, 80.57)","54.09 (37.14, 72.14)"
"Caldwell County, Kentucky",21033,"44.52 (40.99, 48.31)","48.47 (45.22, 51.92)","54.51 (51.07, 57.84)","62.28 (58.70, 65.94)","73.23 (68.89, 77.38)","82.16 (77.28, 87.41)","82.65 (77.09, 88.10)","85.89 (80.09, 92.48)","92.94 (72.47, 113.86)"
"Calloway County, Kentucky",21035,"39.75 (36.87, 42.76)","41.55 (38.63, 44.30)","44.75 (41.94, 47.49)","50.82 (48.06, 54.01)","58.13 (54.96, 61.47)","60.84 (57.35, 64.20)","59.30 (55.92, 62.72)","60.75 (56.92, 64.67)","52.83 (37.92, 69.52)"
"Campbell County, Kentucky",21037,"62.30 (58.53, 66.04)","65.15 (61.68, 68.49)","64.58 (61.26, 67.62)","72.85 (69.69, 76.42)","76.69 (73.09, 80.39)","74.77 (71.27, 78.36)","68.65 (65.15, 72.01)","68.84 (65.25, 72.72)","10.51 (1.73, 20.29)"
"Carlisle County, Kentucky",21039,"37.79 (34.16, 41.65)","39.48 (36.01, 43.01)","42.07 (38.43, 45.75)","48.12 (43.91, 52.56)","54.91 (50.11, 59.97)","54.36 (49.51, 59.35)","54.12 (48.71, 59.35)","55.47 (49.71, 61.00)","46.81 (28.74, 68.76)"
"Carroll County, Kentucky",21041,"55.11 (50.53, 60.33)","59.60 (55.25, 64.57)","65.18 (60.89, 69.78)","75.21 (70.68, 80.64)","88.00 (82.24, 93.79)","92.62 (86.83, 98.78)","90.87 (84.33, 97.01)","96.38 (89.16, 103.40)","74.89 (55.36, 96.22)"
"Carter County, Kentucky",21043,"57.95 (53.61, 62.71)","58.72 (54.89, 62.75)","62.50 (58.94, 66.59)","67.66 (63.95, 71.46)","72.16 (68.34, 76.37)","72.75 (68.77, 77.25)","66.76 (62.69, 70.57)","65.31 (61.19, 69.74)","12.71 (1.90, 25.00)"
"Casey County, Kentucky",21045,"52.50 (48.58, 56.62)","54.03 (50.57, 57.82)","57.00 (53.74, 60.68)","61.94 (58.42, 65.57)","69.31 (65.33, 73.30)","71.03 (66.73, 74.97)","67.81 (63.52, 72.01)","66.74 (61.96, 71.44)","27.12 (14.79, 42.36)"
"Christian County, Kentucky",21047,"50.10 (47.12, 53.36)","51.79 (48.84, 54.97)","57.00 (54.23, 60.12)","62.98 (59.91, 66.02)","73.89 (70.47, 77.43)","81.38 (77.50, 85.55)","76.86 (73.02, 80.95)","80.79 (76.37, 85.24)","61.25 (48.44, 75.30)"
"Clark County, Kentucky",21049,"48.05 (44.55, 51.85)","48.36 (45.21, 51.42)","49.98 (47.17, 52.96)","54.35 (51.36, 57.62)","58.17 (54.96, 61.61)","58.81 (55.30, 62.23)","55.50 (52.05, 58.90)","56.77 (53.15, 60.94)","18.13 (7.71, 31.08)"
"Clay County, Kentucky",21051,"48.86 (45.31, 52.97)","51.26 (47.90, 54.60)","56.40 (53.14, 59.80)","63.93 (60.12, 67.71)","76.75 (72.48, 81.08)","80.23 (75.74, 84.96)","79.49 (74.60, 84.79)","80.02 (74.77, 85.28)","63.78 (47.96, 81.34)"
"Clinton County, Kentucky",21053,"51.08 (46.69, 55.82)","54.19 (50.10, 58.74)","58.51 (54.57, 62.51)","65.32 (60.91, 69.65)","73.19 (68.24, 78.07)","77.03 (71.80, 82.32)","74.72 (68.99, 80.56)","74.92 (68.96, 81.39)","46.69 (29.99, 67.10)"
"Crittenden County, Kentucky",21055,"47.26 (43.04, 51.63)","51.47 (47.57, 55.10)","56.54 (53.02, 60.09)","64.11 (60.38, 68.30)","75.37 (70.92, 80.25)","82.36 (76.53, 88.39)","82.38 (76.72, 88.24)","85.52 (79.06, 92.86)","80.95 (59.99, 106.46)"
"Cumberland County, Kentucky",21057,"56.40 (51.76, 61.86)","58.54 (53.83, 62.97)","60.96 (56.66, 65.16)","67.33 (62.81, 71.97)","75.52 (70.53, 80.67)","77.60 (72.33, 83.01)","71.97 (66.51, 77.42)","73.65 (67.81, 79.66)","30.57 (15.48, 46.46)"
"Daviess County, Kentucky",21059,"54.52 (51.34, 57.92)","57.59 (54.51, 60.71)","58.14 (55.33, 61.06)","64.09 (61.10, 67.09)","74.33 (70.76, 78.03)","73.79 (70.39, 77.17)","72.14 (68.70, 75.96)","71.53 (67.77, 75.25)","31.19 (21.52, 41.29)"
"Edmonson County, Kentucky",21061,"45.56 (41.24, 50.26)","46.87 (42.87, 50.83)","49.74 (45.93, 53.54)","56.21 (52.33, 60.50)","62.38 (58.17, 66.82)","63.88 (59.59, 68.21)","62.51 (58.12, 67.32)","62.37 (57.56, 67.79)","36.91 (20.47, 54.97)"
"Elliott County, Kentucky",21063,"60.15 (54.60, 65.76)","62.73 (57.38, 68.82)","65.46 (60.52, 70.42)","71.33 (66.33, 76.70)","76.92 (71.52, 82.60)","79.27 (73.50, 85.59)","70.76 (65.14, 76.99)","70.02 (63.81, 76.54)","16.40 (3.05, 32.26)"
"Estill County, Kentucky",21065,"47.02 (43.40, 50.87)","50.79 (47.28, 54.33)","56.09 (52.59, 59.71)","66.17 (62.20, 70.20)","75.96 (71.32, 80.30)","80.93 (76.04, 86.28)","78.91 (73.14, 84.24)","79.95 (74.04, 86.30)","70.05 (50.69, 91.50)"
"Fayette County, Kentucky",21067,"49.71 (47.18, 52.28)","50.27 (47.92, 52.86)","50.24 (47.91, 52.77)","57.44 (55.11, 60.09)","62.45 (59.72, 65.27)","66.55 (63.77, 69.35)","62.47 (59.86, 65.21)","65.28 (62.29, 68.08)","31.32 (23.52, 40.40)"
"Fleming County, Kentucky",21069,"63.22 (58.56, 68.09)","68.22 (63.99, 73.06)","72.43 (67.97, 77.07)","81.12 (76.48, 86.03)","90.83 (85.81, 96.38)","96.73 (91.18, 102.79)","92.08 (86.14, 98.25)","96.13 (89.47, 103.49)","52.04 (36.75, 68.63)"
"Floyd County, Kentucky",21071,"59.32 (54.99, 63.70)","63.20 (59.44, 67.22)","69.61 (65.91, 73.28)","78.83 (74.92, 82.80)","85.77 (81.39, 90.05)","88.50 (84.23, 93.25)","83.80 (79.52, 88.56)","85.67 (80.79, 90.90)","44.44 (30.76, 58.42)"
"Franklin County, Kentucky",21073,"49.95 (46.57, 53.42)","51.75 (48.69, 54.92)","54.36 (51.43, 57.52)","61.73 (58.62, 65.03)","67.71 (64.34, 71.35)","71.03 (67.24, 74.57)","67.02 (63.32, 70.88)","66.32 (62.25, 70.45)","32.77 (21.22, 45.56)"
"Fulton County, Kentucky",21075,"48.93 (44.48, 53.55)","55.08 (50.93, 59.24)","62.39 (57.96, 66.72)","74.69 (70.01, 79.27)","91.26 (85.80, 97.17)","98.44 (92.48, 104.91)","99.93 (92.99, 107.30)","107.46 (99.12, 115.60)","119.62 (93.68, 149.84)"
"Gallatin County, Kentucky",21077,"57.70 (52.16, 63.78)","63.16 (57.98, 68.77)","68.93 (64.17, 74.01)","78.42 (72.88, 83.90)","91.10 (84.83, 97.79)","96.98 (90.18, 104.32)","95.79 (88.43, 103.43)","101.10 (92.75, 109.99)","75.22 (53.75, 99.15)"
"Garrard County, Kentucky",21079,"54.48 (50.40, 59.00)","57.26 (53.40, 61.68)","58.60 (55.24, 62.40)","65.48 (61.66, 69.51)","73.14 (69.07, 77.65)","73.42 (69.09, 78.07)","70.64 (66.04, 75.58)","72.01 (66.63, 77.10)","32.18 (18.59, 45.74)"
"Grant County, Kentucky",21081,"63.94 (59.36, 68.76)","66.93 (62.43, 71.11)","70.94 (66.67, 75.11)","79.87 (75.35, 84.75)","90.37 (85.18, 95.28)","96.51 (90.96, 101.93)","91.18 (85.55, 96.63)","93.10 (87.20, 99.34)","45.61 (32.62, 60.57)"
"Graves County, Kentucky",21083,"43.48 (40.46, 46.25)","47.21 (44.41, 50.31)","52.67 (49.64, 55.47)","59.03 (55.89, 62.15)","65.84 (62.47, 69.22)","72.56 (69.08, 76.52)","73.00 (69.10, 76.92)","73.99 (69.90, 78.61)","70.16 (55.54, 87.62)"
"Grayson County, Kentucky",21085,"39.00 (36.04, 42.19)","42.86 (39.98, 45.83)","48.39 (45.63, 51.33)","57.06 (53.90, 60.58)","67.48 (63.64, 71.42)","72.50 (68.68, 76.65)","72.85 (68.65, 77.20)","78.81 (73.55, 83.89)","102.09 (82.67, 124.35)"
"Green County, Kentucky",21087,"40.81 (37.27, 44.42)","43.28 (39.84, 46.50)","46.90 (43.53, 50.17)","53.06 (49.35, 56.55)","61.95 (57.97, 66.21)","66.68 (62.27, 71.48)","66.68 (61.99, 71.69)","66.18 (60.97, 71.69)","62.16 (42.92, 82.15)"
"Greenup County, Kentucky",21089,"47.02 (43.59, 50.55)","49.84 (46.79, 53.09)","53.54 (50.28, 56.59)","59.04 (55.90, 62.22)","66.40 (62.65, 69.83)","67.70 (64.24, 71.00)","64.93 (61.20, 68.86)","66.59 (62.46, 71.04)","41.64 (28.00, 56.67)"
